brand,customer_message_volume,brand_response_volume,response_rate,unique_conversations,multi_turn_count,multi_turn_ratio,average_depth,avg_customer_msg_length,avg_brand_response_length,data_quality,norm_volume,norm_response_rate,norm_multi_turn,norm_depth,norm_quality,final_score
AmazonHelp,169840,169840,1.0,169840,83725,0.49296396608572773,2.489707960433349,80.81858219500707,123.96389543099387,1.0,1.0,1.0,0.6872752000264575,0.8499935151299379,1.0,0.8761812630339249
ATVIAssist,18871,17650,0.9352975464999205,18871,11895,0.6739376770538243,2.559323830215675,93.03735891049759,108.16906515580736,1.0,0.10311866484371317,0.6816228478567515,1.0,1.0,1.0,0.7569483025400929
VerizonSupport,17966,17966,1.0,17966,9456,0.5263275075141934,2.519926527886007,86.11599688300123,88.08516085940109,1.0,0.10498090613360991,1.0,0.7449278102526203,0.9151077067008504,1.0,0.7274960656426782
idea_cares,15724,15724,1.0,15724,7233,0.4599974561180361,2.4531925718646654,95.84024421266854,135.80253116255406,1.0,0.09176842204516525,1.0,0.6303086650511671,0.7713110954463257,1.0,0.6617085030136484
VirginTrains,28784,27817,0.9664049471928849,28784,13861,0.49829241111550493,2.4377084491384102,105.433435241801,84.85785670633067,1.0,0.16303451039554948,0.8346910099967355,0.696482818620303,0.737946306229085,1.0,0.6560792109103649
XboxSupport,24557,24557,1.0,24557,10641,0.4333184020849452,2.424522539398135,98.32398094229751,114.88463574540864,1.0,0.14382278063269058,1.0,0.5842069313167437,0.7095336472170338,1.0,0.645933364964968
MicrosoftHelps,11304,11304,1.0,11304,5026,0.444621372965322,2.4374557678697806,102.71779900920028,136.1434890304317,1.0,0.06572061666116638,1.0,0.6037386041147654,0.7374018351333684,1.0,0.6417460715933365
O2,16212,16212,1.0,16212,7080,0.43671354552183567,2.429249938317296,93.64217863311127,113.68510979521342,1.0,0.09464428834095516,1.0,0.5900737809630453,0.71972012476388,1.0,0.6398950169098806
YahooCare,920,906,0.9847826086956522,920,442,0.4878587196467991,2.4326086956521737,103.43913043478261,119.54635761589404,1.0,0.004443449153740984,0.9251207729468598,0.6784532713447218,0.7269574886424318,1.0,0.634840323552023
AmericanAir,36764,36764,1.0,36764,14701,0.3998748775976499,2.395359590904145,103.42759220977042,103.4089326515069,1.0,0.215760690207911,1.0,0.5264161093804934,0.6466940762153549,1.0,0.6304157860988012
