,CONNECTIVITY_AND_ERRORS,DIGITAL_ACCESS_AND_DOWNLOAD,EXPLOIT_AND_HACKER_REPORT,FEEDBACK_AND_COMPLAINTS,GAMEPLAY_BUG_REPORT,INFORMATION_AND_OTHER_REQUESTS,LOW_FREQUENCY_SPECIAL_CASE,MATCHMAKING_AND_LOBBIES,PROGRESSION_AND_REWARDS,PURCHASE_AND_BILLING
CONNECTIVITY_AND_ERRORS,162,7,0,23,4,19,0,15,2,0
DIGITAL_ACCESS_AND_DOWNLOAD,2,143,0,9,4,1,0,7,3,2
EXPLOIT_AND_HACKER_REPORT,0,0,56,3,0,0,1,0,0,0
FEEDBACK_AND_COMPLAINTS,6,5,5,148,6,9,3,2,1,1
GAMEPLAY_BUG_REPORT,0,4,5,12,144,8,18,10,4,0
INFORMATION_AND_OTHER_REQUESTS,9,1,1,13,5,207,1,1,1,2
LOW_FREQUENCY_SPECIAL_CASE,0,1,1,1,1,1,16,1,2,0
MATCHMAKING_AND_LOBBIES,5,5,3,7,7,1,5,180,2,2
PROGRESSION_AND_REWARDS,0,9,0,20,5,2,1,7,226,3
PURCHASE_AND_BILLING,0,0,0,0,0,0,0,2,0,5
