,CONNECTIVITY_AND_ERRORS,DIGITAL_ACCESS_AND_DOWNLOAD,EXPLOIT_AND_HACKER_REPORT,FEEDBACK_AND_COMPLAINTS,GAMEPLAY_BUG_REPORT,INFORMATION_AND_OTHER_REQUESTS,LOW_FREQUENCY_SPECIAL_CASE,MATCHMAKING_AND_LOBBIES,PROGRESSION_AND_REWARDS,PURCHASE_AND_BILLING
CONNECTIVITY_AND_ERRORS,211,3,0,6,1,8,0,1,2,0
DIGITAL_ACCESS_AND_DOWNLOAD,2,152,0,3,3,1,0,5,3,2
EXPLOIT_AND_HACKER_REPORT,0,0,56,3,0,0,1,0,0,0
FEEDBACK_AND_COMPLAINTS,1,0,3,166,5,5,1,3,2,0
GAMEPLAY_BUG_REPORT,0,3,3,5,174,5,6,4,5,0
INFORMATION_AND_OTHER_REQUESTS,4,2,2,5,6,215,1,2,2,2
LOW_FREQUENCY_SPECIAL_CASE,0,1,1,1,0,1,19,0,1,0
MATCHMAKING_AND_LOBBIES,5,6,2,1,5,1,4,186,4,3
PROGRESSION_AND_REWARDS,0,10,0,8,3,1,2,4,244,1
PURCHASE_AND_BILLING,0,0,0,0,1,0,0,1,0,5
