,CONNECTIVITY_AND_ERRORS,DIGITAL_ACCESS_AND_DOWNLOAD,EXPLOIT_AND_HACKER_REPORT,FEEDBACK_AND_COMPLAINTS,GAMEPLAY_BUG_REPORT,INFORMATION_AND_OTHER_REQUESTS,LOW_FREQUENCY_SPECIAL_CASE,MATCHMAKING_AND_LOBBIES,PROGRESSION_AND_REWARDS,PURCHASE_AND_BILLING
CONNECTIVITY_AND_ERRORS,198,5,0,8,5,10,0,3,3,0
DIGITAL_ACCESS_AND_DOWNLOAD,1,131,0,5,6,1,0,17,9,1
EXPLOIT_AND_HACKER_REPORT,0,0,58,0,2,0,0,0,0,0
FEEDBACK_AND_COMPLAINTS,2,12,0,150,15,4,0,1,2,0
GAMEPLAY_BUG_REPORT,0,7,3,16,147,16,1,6,9,0
INFORMATION_AND_OTHER_REQUESTS,2,10,2,16,25,177,0,4,5,0
LOW_FREQUENCY_SPECIAL_CASE,0,0,1,0,0,0,20,2,1,0
MATCHMAKING_AND_LOBBIES,8,14,3,3,15,19,0,145,10,0
PROGRESSION_AND_REWARDS,1,10,0,22,12,6,1,12,209,0
PURCHASE_AND_BILLING,0,0,0,0,0,1,0,1,0,5
