,CONNECTIVITY_AND_ERRORS,DIGITAL_ACCESS_AND_DOWNLOAD,EXPLOIT_AND_HACKER_REPORT,FEEDBACK_AND_COMPLAINTS,GAMEPLAY_BUG_REPORT,INFORMATION_AND_OTHER_REQUESTS,LOW_FREQUENCY_SPECIAL_CASE,MATCHMAKING_AND_LOBBIES,PROGRESSION_AND_REWARDS,PURCHASE_AND_BILLING
CONNECTIVITY_AND_ERRORS,203,4,0,4,2,12,0,3,4,0
DIGITAL_ACCESS_AND_DOWNLOAD,1,126,0,4,4,3,0,19,14,0
EXPLOIT_AND_HACKER_REPORT,0,0,53,4,2,0,0,1,0,0
FEEDBACK_AND_COMPLAINTS,2,15,0,138,11,10,0,3,7,0
GAMEPLAY_BUG_REPORT,1,1,2,14,144,23,1,6,13,0
INFORMATION_AND_OTHER_REQUESTS,4,6,3,11,17,184,1,7,8,0
LOW_FREQUENCY_SPECIAL_CASE,0,0,1,0,0,1,19,1,2,0
MATCHMAKING_AND_LOBBIES,7,15,3,5,9,19,0,148,11,0
PROGRESSION_AND_REWARDS,2,9,0,17,8,3,0,11,223,0
PURCHASE_AND_BILLING,0,0,0,0,0,1,0,1,0,5
