intent,count,percentage,assignment_method
PROGRESSION_AND_REWARDS,1824,16.87%,DIRECT_CLUSTER_MAPPING
INFORMATION_AND_OTHER_REQUESTS,1620,14.98%,DIRECT_CLUSTER_MAPPING
CONNECTIVITY_AND_ERRORS,1575,14.57%,DIRECT_CLUSTER_MAPPING
MATCHMAKING_AND_LOBBIES,1512,13.98%,DIRECT_CLUSTER_MAPPING
GAMEPLAY_BUG_REPORT,1374,12.71%,DIRECT_CLUSTER_MAPPING
FEEDBACK_AND_COMPLAINTS,1247,11.53%,DIRECT_CLUSTER_MAPPING
DIGITAL_ACCESS_AND_DOWNLOAD,1076,9.95%,RULE_ASSISTED_SPLIT
EXPLOIT_AND_HACKER_REPORT,402,3.72%,DIRECT_CLUSTER_MAPPING
LOW_FREQUENCY_SPECIAL_CASE,164,1.52%,RISK_RULE
PURCHASE_AND_BILLING,18,0.17%,RULE_ASSISTED_SPLIT
